Source: ACS 1-Year Estimates - Public Use Microdata Sample 2005
Weight used: PWGTP
"Universe: selected geographies: Michigan"
"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
" -> N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)",""
"Michigan","-4564.362401358065"
" -> MGR-Chief Executives And Legislators",""
"Michigan","124689.7268607379"
" -> MGR-General And Operations Managers",""
"Michigan","72087.7847277708"
" -> MGR-Advertising And Promotions Managers",""
"Michigan","112849.17259498787"
"Michigan","80296.27685619012"
" -> MGR-Public Relations And Fundraising Managers",""
"Michigan","71954.02245172879"
"Michigan","61624.33497536946"
" -> MGR-Computer And Information Systems Managers",""
"Michigan","73090.88616277536"
" -> MGR-Financial Managers",""
"Michigan","68033.51696438009"
"Michigan","65315.587909245434"
" -> MGR-Industrial Production Managers",""
"Michigan","64781.77582048096"
" -> MGR-Purchasing Managers",""
"Michigan","71765.72899062835"
" -> MGR-Transportation, Storage, And Distribution Managers",""
"Michigan","51513.437928408224"
"Michigan","39504.90244454504"
"Michigan","39485.47652141247"
" -> MGR-Construction Managers",""
"Michigan","62769.191306996174"
" -> MGR-Education And Childcare Administrators",""
"Michigan","62374.84684719239"
" -> MGR-Architectural And Engineering Managers",""
"Michigan","107218.82331934648"
" -> MGR-Food Service Managers",""
"Michigan","28414.174397196817"
"Michigan","46370.617566331195"
"Michigan","24072.00929152149"
" -> MGR-Lodging Managers",""
"Michigan","29527.09883145177"
" -> MGR-Medical And Health Services Managers",""
"Michigan","76769.88693968907"
" -> MGR-Natural Sciences Managers",""
"Michigan",""
" -> MGR-Property, Real Estate, And Community Association Managers",""
"Michigan","62213.728800552526"
" -> MGR-Social And Community Service Managers",""
"Michigan","39967.06333676622"
"Michigan","70307.97900850636"
" -> BUS-Agents And Business Managers Of Artists, Performers, And Athletes",""
"Michigan","15302.491103202847"
" -> BUS-Buyers And Purchasing Agents, Farm Products",""
"Michigan","23371.509881422924"
" -> BUS-Wholesale And Retail Buyers, Except Farm Products",""
"Michigan","37000.978128226794"
" -> BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products",""
"Michigan","49483.11996324049"
" -> BUS-Claims Adjusters, Appraisers, Examiners, And Investigators",""
"Michigan","40308.09266202464"
"Michigan","59242.61703760552"
" -> BUS-Cost Estimators",""
"Michigan","53253.72373540856"
"Michigan","48165.49216279623"
" -> BUS-Logisticians",""
"Michigan","39527.51684994679"
" -> BUS-Management Analysts",""
"Michigan","67809.34249900912"
"Michigan","112127.85087719298"
"Michigan","39977.93916705662"
" -> FIN-Accountants And Auditors",""
"Michigan","54846.901546417386"
" -> FIN-Property Appraisers and Assessors",""
"Michigan","57320.83370618941"
" -> FIN-Budget Analysts",""
"Michigan","66195"
" -> FIN-Credit Analysts",""
"Michigan","36512.98763082778"
"Michigan","107020.94747177222"
" -> FIN-Personal Financial Advisors",""
"Michigan","88667.30205074731"
" -> FIN-Insurance Underwriters",""
"Michigan","50410.683982683986"
" -> FIN-Financial Examiners",""
"Michigan","53758.41924398625"
" -> FIN-Credit Counselors And Loan Officers",""
"Michigan","49962.30431384808"
" -> FIN-Tax Examiners And Collectors, And Revenue Agents",""
"Michigan","42817.45783628136"
" -> FIN-Tax Preparers",""
"Michigan","30034.226269315674"
"Michigan","55242.01778385773"
"Michigan","54696.35755488235"
" -> CMM-Computer Programmers",""
"Michigan","53109.532427184466"
"Michigan","69080.88781243945"
"Michigan","42812.0124905692"
"Michigan","59844.328440875106"
"Michigan","54158.63303269447"
"Michigan","50008.30475587894"
" -> CMM-Actuaries",""
"Michigan","77530.25477707006"
" -> CMM-Operations Research Analysts",""
"Michigan","65949.41561987984"
" -> CMM-Other Mathematical Science Occupations",""
"Michigan","69060.71948261924"
"Michigan","62452.683961692324"
" -> ENG-Surveyors, Cartographers, And Photogrammetrists",""
"Michigan","36308.7946074544"
" -> ENG-Aerospace Engineers",""
"Michigan","62518.59379993608"
" -> ENG-Biomedical And Agricultural Engineers",""
"Michigan",""
" -> ENG-Chemical Engineers",""
"Michigan","87271.4607130495"
" -> ENG-Civil Engineers",""
"Michigan","67328.1071863581"
" -> ENG-Computer Hardware Engineers",""
"Michigan","57242.479616306955"
" -> ENG-Electrical And Electronics Engineers",""
"Michigan","70752.25187424426"
" -> ENG-Environmental Engineers",""
"Michigan","77060.63072227874"
" -> ENG-Industrial Engineers, Including Health And Safety",""
"Michigan","64008.08841588211"
" -> ENG-Marine Engineers And Naval Architects",""
"Michigan","66108.47457627118"
" -> ENG-Materials Engineers",""
"Michigan","67356.5590472378"
" -> ENG-Mechanical Engineers",""
"Michigan","75309.29083708177"
" -> ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers",""
"Michigan","80600"
" -> ENG-Other Engineers",""
"Michigan","67601.87525323838"
"Michigan","47437.82879118792"
"Michigan","44846.61100127922"
" -> ENG-Surveying And Mapping Technicians",""
"Michigan","30872.31807951988"
" -> SCI-Agricultural And Food Scientists",""
"Michigan","37227.21590909091"
" -> SCI-Biological Scientists",""
"Michigan","36698.78189300412"
" -> SCI-Conservation Scientists And Foresters",""
"Michigan","46002.658662092625"
" -> SCI-Other Life Scientists",""
"Michigan","68295.58580858086"
" -> SCI-Astronomers And Physicists",""
"Michigan","20400"
" -> SCI-Atmospheric And Space Scientists",""
"Michigan",""
" -> SCI-Chemists And Materials Scientists",""
"Michigan","77151.82111489514"
"Michigan","50669.08169014085"
" -> SCI-Physical Scientists, All Other",""
"Michigan","63523.487022900765"
" -> SCI-Economists",""
"Michigan","30596.969696969696"
"Michigan","57701.27004608295"
"Michigan","50695.37389530931"
" -> SCI-Urban And Regional Planners",""
"Michigan","60110.77844311377"
" -> SCI-Other Social Scientists",""
"Michigan","85799.25093632958"
" -> SCI-Agricultural And Food Science Technicians",""
"Michigan","38436.05870020964"
" -> SCI-Biological Technicians",""
"Michigan","44127.850877192985"
" -> SCI-Chemical Technicians",""
"Michigan","46644.43294329433"
"Michigan","23900"
"Michigan","24846.35829690173"
"Michigan","34042.80923154958"
"Michigan","35619.93105323584"
"Michigan","36302.97222511183"
" -> CMS-Clergy",""
"Michigan","34533.715061257426"
" -> CMS-Directors, Religious Activities And Education",""
"Michigan","37544.59233978005"
" -> CMS-Religious Workers, All Other",""
"Michigan","15645.217242559014"
" -> LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",""
"Michigan","117589.1349011774"
"Michigan","35945.13663327823"
"Michigan","39649.31837248322"
"Michigan","47167.286115317846"
" -> EDU-Preschool And Kindergarten Teachers",""
"Michigan","18442.284757866546"
" -> EDU-Elementary And Middle School Teachers",""
"Michigan","41741.32054891192"
" -> EDU-Secondary School Teachers",""
"Michigan","43100.91484773974"
" -> EDU-Special Education Teachers",""
"Michigan","40840.24439102564"
"Michigan","23241.972251834202"
" -> EDU-Archivists, Curators, And Museum Technicians",""
"Michigan","31713.53315168029"
"Michigan","37704.867729831145"
" -> EDU-Library Technicians",""
"Michigan","12779.518234165067"
"Michigan","13718.869672240802"
"Michigan","47786.530726256984"
" -> ENT-Artists And Related Workers",""
"Michigan","36931.47340942205"
"Michigan","38031.22171428571"
" -> ENT-Actors",""
"Michigan","30800"
" -> ENT-Producers And Directors",""
"Michigan","40730.205501106546"
"Michigan","36241.55221653879"
" -> ENT-Dancers And Choreographers",""
"Michigan","16239.16292974589"
"Michigan","24529.57855547282"
"Michigan","38479.89382879894"
"Michigan","17777.939035486805"
" -> ENT-News Analysts, Reporters, And Journalists",""
"Michigan","45805.534675615214"
"Michigan","44947.66680567139"
" -> ENT-Editors",""
"Michigan","31878.669536294266"
" -> ENT-Technical Writers",""
"Michigan","60057.1567436209"
" -> ENT-Writers And Authors",""
"Michigan","38280.75216246709"
"Michigan","18600.34949267193"
"Michigan","32375.080831408777"
" -> ENT-Photographers",""
"Michigan","24527.169893514038"
" -> ENT-Television, Video, And Film Camera Operators And Editors",""
"Michigan","16526.140350877195"
" -> MED-Chiropractors",""
"Michigan","113804.64"
" -> MED-Dentists",""
"Michigan","125468.67881008839"
" -> MED-Dietitians And Nutritionists",""
"Michigan","36778.4799713877"
" -> MED-Optometrists",""
"Michigan","74555.24603836531"
" -> MED-Pharmacists",""
"Michigan","71464.57026076158"
"Michigan","169839.17989434334"
" -> MED-Physician Assistants",""
"Michigan","42759.81865284974"
" -> MED-Podiatrists",""
"Michigan","93657.76081424937"
"Michigan","44433.873933197145"
" -> MED-Audiologists",""
"Michigan","65025.706214689264"
" -> MED-Occupational Therapists",""
"Michigan","45443.66268958544"
" -> MED-Physical Therapists",""
"Michigan","56256.63416033271"
" -> MED-Radiation Therapists",""
"Michigan",""
" -> MED-Recreational Therapists",""
"Michigan","21282.766990291264"
" -> MED-Respiratory Therapists",""
"Michigan","40989.101941747576"
" -> MED-Speech-Language Pathologists",""
"Michigan","44040.98522167488"
"Michigan","44052.25620012939"
" -> MED-Veterinarians",""
"Michigan","75163.95614435815"
"Michigan","65266.53696498054"
" -> MED-Clinical Laboratory Technologists And Technicians",""
"Michigan","31490.943831566805"
" -> MED-Dental Hygienists",""
"Michigan","33971.74044265594"
"Michigan","46790.64839523981"
"Michigan","33868.63771396237"
"Michigan","22037.895142751204"
" -> MED-Licensed Practical And Licensed Vocational Nurses",""
"Michigan","29673.889906497243"
"Michigan","22309.922374429225"
" -> MED-Opticians, Dispensing",""
"Michigan","21253.32264957265"
"Michigan","29914.605206999575"
"Michigan","39041.57237612173"
"Michigan","20144.325278726847"
" -> HLS-Occupational Therapy Assistants And Aides",""
"Michigan","24254.601861427094"
" -> HLS-Physical Therapist Assistants And Aides",""
"Michigan","27854.688741721853"
" -> HLS-Massage Therapists",""
"Michigan","18326.716107979828"
" -> HLS-Dental Assistants",""
"Michigan","21654.36925502562"
"Michigan","20375.857881527623"
" -> PRT-First-Line Supervisors Of Correctional Officers",""
"Michigan","49150.150651465796"
" -> PRT-First-Line Supervisors Of Police And Detectives",""
"Michigan","68802.8443960827"
" -> PRT-First-Line Supervisors Of Firefighting And Prevention Workers",""
"Michigan","73678.56173677069"
"Michigan","43740.800561797754"
" -> PRT-Firefighters",""
"Michigan","54211.724465558196"
