"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
" -> N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)",""
"Michigan","-1647.8510765541462"
" -> MGR-Chief Executives And Legislators",""
"Michigan","121156.13101523151"
" -> MGR-General And Operations Managers",""
"Michigan","72289.62785317705"
" -> MGR-Advertising And Promotions Managers",""
"Michigan","64705.95547309833"
"Michigan","78672.923041261"
" -> MGR-Public Relations And Fundraising Managers",""
"Michigan","60133.112701252234"
"Michigan","59148.320886533365"
" -> MGR-Computer And Information Systems Managers",""
"Michigan","82410.80403779565"
" -> MGR-Financial Managers",""
"Michigan","63931.05787110687"
" -> MGR-Compensation And Benefits Managers",""
"Michigan","43380.426356589145"
" -> MGR-Human Resources Managers",""
"Michigan","70465.72746543778"
" -> MGR-Training And Development Managers",""
"Michigan","48853.927813163486"
" -> MGR-Industrial Production Managers",""
"Michigan","60171.849500293945"
" -> MGR-Purchasing Managers",""
"Michigan","77607.74922338323"
" -> MGR-Transportation, Storage, And Distribution Managers",""
"Michigan","53471.464784456584"
" -> MGR-Farmers, Ranchers, And Other Agricultural Managers",""
"Michigan","39673.37512736633"
" -> MGR-Construction Managers",""
"Michigan","54996.29863362668"
" -> MGR-Education And Childcare Administrators",""
"Michigan","66975.72089490402"
" -> MGR-Architectural And Engineering Managers",""
"Michigan","104611.61028996954"
" -> MGR-Food Service Managers",""
"Michigan","32862.33443193831"
"Michigan","68049.66608084358"
" -> MGR-Lodging Managers",""
"Michigan","30347.932856698786"
" -> MGR-Medical And Health Services Managers",""
"Michigan","71347.38907527784"
" -> MGR-Natural Sciences Managers",""
"Michigan","103248.45360824742"
" -> MGR-Property, Real Estate, And Community Association Managers",""
"Michigan","51818.69571118349"
" -> MGR-Social And Community Service Managers",""
"Michigan","54079.554924242424"
" -> MGR-Emergency Management Directors",""
"Michigan","47719.653179190755"
"Michigan","70492.52289598086"
" -> BUS-Agents And Business Managers Of Artists, Performers, And Athletes",""
"Michigan","37550.619637750235"
" -> BUS-Buyers And Purchasing Agents, Farm Products",""
"Michigan","18500"
" -> BUS-Wholesale And Retail Buyers, Except Farm Products",""
"Michigan","39325.18559866034"
" -> BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products",""
"Michigan","54884.396260194946"
" -> BUS-Claims Adjusters, Appraisers, Examiners, And Investigators",""
"Michigan","47916.68305352008"
" -> BUS-Compliance Officers",""
"Michigan","60459.485004544076"
" -> BUS-Cost Estimators",""
"Michigan","49008.27504317789"
" -> BUS-Human Resources Workers",""
"Michigan","53356.478177206336"
" -> BUS-Compensation, Benefits, And Job Analysis Specialists",""
"Michigan","55177.59984338293"
" -> BUS-Training And Development Specialists",""
"Michigan","48474.10644982443"
" -> BUS-Logisticians",""
"Michigan","46805.62374245473"
" -> BUS-Management Analysts",""
"Michigan","71981.79487179487"
" -> BUS-Meeting, Convention, And Event Planners",""
"Michigan","30770.779914529914"
" -> BUS-Fundraisers",""
"Michigan","47952.67781441357"
" -> BUS-Market Research Analysts And Marketing Specialists",""
"Michigan","63983.55656451003"
"Michigan","53444.90330630069"
" -> FIN-Accountants And Auditors",""
"Michigan","58257.4225712875"
" -> FIN-Property Appraisers and Assessors",""
"Michigan","51058.324505531345"
" -> FIN-Budget Analysts",""
"Michigan","59724.31506849315"
" -> FIN-Credit Analysts",""
"Michigan","66192.71523178808"
"Michigan","48539.40446650124"
" -> FIN-Personal Financial Advisors",""
"Michigan","84909.51962418549"
" -> FIN-Insurance Underwriters",""
"Michigan","44782.69540229885"
" -> FIN-Financial Examiners",""
"Michigan","76664.7191011236"
" -> FIN-Credit Counselors And Loan Officers",""
"Michigan","51024.83782297966"
" -> FIN-Tax Examiners And Collectors, And Revenue Agents",""
"Michigan","49444.684782608696"
" -> FIN-Tax Preparers",""
"Michigan","36612.24148756339"
"Michigan","55455.63515954244"
" -> CMM-Computer And Information Research Scientists",""
"Michigan","52957.93991416309"
" -> CMM-Computer Systems Analysts",""
"Michigan","66301.3193928324"
" -> CMM-Information Security Analysts",""
"Michigan","65081.844311377245"
" -> CMM-Computer Programmers",""
"Michigan","60373.908897139714"
"Michigan","73393.25725101923"
"Michigan","40380.69660861595"
" -> CMM-Computer Support Specialists",""
"Michigan","40057.64627191438"
"Michigan","49318.69186837095"
" -> CMM-Network And Computer Systems Administrators",""
"Michigan","53813.90493114172"
" -> CMM-Computer Network Architects",""
"Michigan","52115.83411875589"
"Michigan","54027.09139000365"
" -> CMM-Actuaries",""
"Michigan","28345.744680851065"
" -> CMM-Operations Research Analysts",""
"Michigan","68881.2090605273"
" -> CMM-Other Mathematical Science Occupations",""
"Michigan","69955.33333333333"
"Michigan","59592.86241741158"
" -> ENG-Surveyors, Cartographers, And Photogrammetrists",""
"Michigan","44529.20738327904"
" -> ENG-Aerospace Engineers",""
"Michigan","75582.01285219971"
" -> ENG-Biomedical And Agricultural Engineers",""
"Michigan","50890.88607594937"
" -> ENG-Chemical Engineers",""
"Michigan","75585.42418772563"
" -> ENG-Civil Engineers",""
"Michigan","66208.39936427209"
" -> ENG-Computer Hardware Engineers",""
"Michigan","52391.609802979336"
" -> ENG-Electrical And Electronics Engineers",""
"Michigan","65964.59393279826"
" -> ENG-Environmental Engineers",""
"Michigan","87940.04076086957"
" -> ENG-Industrial Engineers, Including Health And Safety",""
"Michigan","67555.48016284825"
" -> ENG-Marine Engineers And Naval Architects",""
"Michigan","47731.70731707317"
" -> ENG-Materials Engineers",""
"Michigan","95252.20110192838"
" -> ENG-Mechanical Engineers",""
"Michigan","76928.45015879738"
" -> ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers",""
"Michigan","28158.23157894737"
" -> ENG-Other Engineers",""
"Michigan","71734.16560410512"
"Michigan","46594.83619609948"
"Michigan","36945.488875669245"
" -> ENG-Surveying And Mapping Technicians",""
"Michigan","32718.01282051282"
" -> SCI-Agricultural And Food Scientists",""
"Michigan","40382.61231281198"
" -> SCI-Biological Scientists",""
"Michigan","42093.19565217391"
" -> SCI-Conservation Scientists And Foresters",""
"Michigan","70781.23711340207"
" -> SCI-Other Life Scientists",""
"Michigan","89640.60390763766"
" -> SCI-Astronomers And Physicists",""
"Michigan","76000"
" -> SCI-Atmospheric And Space Scientists",""
"Michigan","62742.53731343283"
" -> SCI-Chemists And Materials Scientists",""
"Michigan","67971.64127637674"
"Michigan","74681.86046511628"
" -> SCI-Physical Scientists, All Other",""
"Michigan","64584.065510597306"
" -> SCI-Economists",""
"Michigan","99906.06060606061"
"Michigan","68846.07349746561"
" -> SCI-Urban And Regional Planners",""
"Michigan","62241.69054441261"
" -> SCI-Other Social Scientists",""
"Michigan","30854.09756097561"
" -> SCI-Agricultural And Food Science Technicians",""
"Michigan","26379.959308240082"
" -> SCI-Biological Technicians",""
"Michigan","23946.40605296343"
" -> SCI-Chemical Technicians",""
"Michigan","45483.821294077374"
"Michigan","54840.867678958784"
"Michigan","24110.39822306838"
"Michigan","39943.645582586425"
"Michigan","37853.618180605576"
" -> CMS-Probation Officers And Correctional Treatment Specialists",""
"Michigan","47225.468105363376"
" -> CMS-Social And Human Service Assistants",""
"Michigan","27672.730500951173"
" -> CMS-Other Community and Social Service Specialists",""
"Michigan","35583.333056478405"
" -> CMS-Clergy",""
"Michigan","49133.84703433923"
" -> CMS-Directors, Religious Activities And Education",""
"Michigan","30795.967912180706"
" -> CMS-Religious Workers, All Other",""
"Michigan","18275.619897474844"
" -> LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",""
"Michigan","116577.97418826942"
" -> LGL-Judicial Law Clerks",""
"Michigan","39364.386227544914"
" -> LGL-Paralegals And Legal Assistants",""
"Michigan","45613.3070494186"
"Michigan","38444.51637107776"
"Michigan","54868.08903215903"
" -> EDU-Preschool And Kindergarten Teachers",""
"Michigan","23965.582725972345"
" -> EDU-Elementary And Middle School Teachers",""
"Michigan","47866.80331136106"
" -> EDU-Secondary School Teachers",""
"Michigan","50418.158116708844"
" -> EDU-Special Education Teachers",""
"Michigan","47023.49986249885"
"Michigan","26958.263915705855"
" -> EDU-Archivists, Curators, And Museum Technicians",""
"Michigan","25958.52731591449"
"Michigan","41419.02736759205"
" -> EDU-Library Technicians",""
"Michigan","11862.880503144654"
"Michigan","14547.95884650045"
"Michigan","53814.38937262782"
" -> ENT-Artists And Related Workers",""
"Michigan","23646.357153535657"
"Michigan","36802.725214063925"
" -> ENT-Actors",""
"Michigan","69783.47457627118"
" -> ENT-Producers And Directors",""
"Michigan","50818.11065782764"
"Michigan","19981.447048735172"
" -> ENT-Dancers And Choreographers",""
"Michigan","35766.80672268908"
"Michigan","28523.035134653113"
