Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Michigan"
"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
" -> N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)",""
"Michigan","2878.0904097743955"
" -> MGR-Chief Executives And Legislators",""
"Michigan","159437.15018637181"
" -> MGR-General And Operations Managers",""
"Michigan","79831.67151406678"
" -> MGR-Advertising And Promotions Managers",""
"Michigan","66473.2476635514"
" -> MGR-Marketing Managers",""
"Michigan","77307.92802923812"
" -> MGR-Sales Managers",""
"Michigan","121694.18037206795"
" -> MGR-Public Relations And Fundraising Managers",""
"Michigan","71950.66757493188"
" -> MGR-Administrative Services Managers",""
"Michigan","87048.13971146545"
" -> MGR-Facilities Managers",""
"Michigan","64993.22852330151"
" -> MGR-Computer And Information Systems Managers",""
"Michigan","105408.65538461538"
" -> MGR-Financial Managers",""
"Michigan","92414.3172059776"
" -> MGR-Compensation And Benefits Managers",""
"Michigan","92803.8019169329"
" -> MGR-Human Resources Managers",""
"Michigan","68917.3490474653"
" -> MGR-Training And Development Managers",""
"Michigan","93892.2502870264"
" -> MGR-Industrial Production Managers",""
"Michigan","76953.17108392797"
" -> MGR-Purchasing Managers",""
"Michigan","92219.08403463838"
" -> MGR-Transportation, Storage, And Distribution Managers",""
"Michigan","61065.11041009464"
" -> MGR-Farmers, Ranchers, And Other Agricultural Managers",""
"Michigan","50402.794800830285"
" -> MGR-Construction Managers",""
"Michigan","75350.1635547152"
" -> MGR-Education And Childcare Administrators",""
"Michigan","66023.06773721635"
" -> MGR-Architectural And Engineering Managers",""
"Michigan","150246.8752324284"
" -> MGR-Food Service Managers",""
"Michigan","47050.91959952168"
" -> MGR-Entertainment and Recreation Managers",""
"Michigan","50877.142857142855"
" -> MGR-Lodging Managers",""
"Michigan","50110.048398248444"
" -> MGR-Medical And Health Services Managers",""
"Michigan","82438.47242949528"
" -> MGR-Natural Sciences Managers",""
"Michigan","56794.38202247191"
" -> MGR-Property, Real Estate, And Community Association Managers",""
"Michigan","55852.14101290963"
" -> MGR-Social And Community Service Managers",""
"Michigan","64868.99272847463"
" -> MGR-Emergency Management Directors",""
"Michigan","42351.31195335277"
" -> MGR-Other Managers",""
"Michigan","91395.9892013723"
" -> BUS-Agents And Business Managers Of Artists, Performers, And Athletes",""
"Michigan","13482.782369146005"
" -> BUS-Buyers And Purchasing Agents, Farm Products",""
"Michigan","70000"
" -> BUS-Wholesale And Retail Buyers, Except Farm Products",""
"Michigan","42607.80070523704"
" -> BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products",""
"Michigan","63677.91235746486"
" -> BUS-Claims Adjusters, Appraisers, Examiners, And Investigators",""
"Michigan","53505.17785527463"
" -> BUS-Compliance Officers",""
"Michigan","63490.724510296335"
" -> BUS-Cost Estimators",""
"Michigan","69554.6942068743"
" -> BUS-Human Resources Workers",""
"Michigan","65295.65489707714"
" -> BUS-Compensation, Benefits, And Job Analysis Specialists",""
"Michigan","45858.76037091264"
" -> BUS-Training And Development Specialists",""
"Michigan","41593.87413962635"
" -> BUS-Logisticians",""
"Michigan","64939.09127063034"
" -> BUS-Project Management Specialists",""
"Michigan","86781.52385812707"
" -> BUS-Management Analysts",""
"Michigan","86328.59366535448"
" -> BUS-Meeting, Convention, And Event Planners",""
"Michigan","35135.53982300885"
" -> BUS-Fundraisers",""
"Michigan","57695.24230769231"
" -> BUS-Market Research Analysts And Marketing Specialists",""
"Michigan","73570.57854642783"
" -> BUS-Business Operations Specialists, All Other",""
"Michigan","58880.796362198496"
" -> FIN-Accountants And Auditors",""
"Michigan","69318.03007547028"
" -> FIN-Property Appraisers and Assessors",""
"Michigan","64884.97228562113"
" -> FIN-Budget Analysts",""
"Michigan","93572.31292517007"
" -> FIN-Credit Analysts",""
"Michigan","65617.94272355348"
" -> FIN-Financial And Investment Analysts",""
"Michigan","78866.74563106796"
" -> FIN-Personal Financial Advisors",""
"Michigan","124694.26527455529"
" -> FIN-Insurance Underwriters",""
"Michigan","69699.54337899544"
" -> FIN-Financial Examiners",""
"Michigan","55085.26315789474"
" -> FIN-Credit Counselors And Loan Officers",""
"Michigan","76265.04631921364"
" -> FIN-Tax Examiners And Collectors, And Revenue Agents",""
"Michigan","24248.025276461296"
" -> FIN-Tax Preparers",""
"Michigan","39773.171055124076"
" -> FIN-Other Financial Specialists",""
"Michigan","62409.54568399798"
" -> CMM-Computer And Information Research Scientists",""
"Michigan","46897.25274725275"
" -> CMM-Computer Systems Analysts",""
"Michigan","73873.9785254116"
" -> CMM-Information Security Analysts",""
"Michigan","103950.32017075774"
" -> CMM-Computer Programmers",""
"Michigan","65339.5429290282"
" -> CMM-Software Developers",""
"Michigan","92265.8081552444"
" -> CMM-Software Quality Assurance Analysts and Testers",""
"Michigan","120536.85778108712"
" -> CMM-Web Developers",""
"Michigan","45379.4578313253"
" -> CMM-Web And Digital Interface Designers",""
"Michigan","38459.78957436633"
" -> CMM-Computer Support Specialists",""
"Michigan","58782.29936014625"
" -> CMM-Database Administrators and Architects",""
"Michigan","88163.06549257017"
" -> CMM-Network And Computer Systems Administrators",""
"Michigan","65985.60189293108"
" -> CMM-Computer Network Architects",""
"Michigan","68865.61264822134"
" -> CMM-Computer Occupations, All Other",""
"Michigan","63572.01533949921"
" -> CMM-Actuaries",""
"Michigan","103580.88362068965"
" -> CMM-Operations Research Analysts",""
"Michigan","68072.10013908206"
" -> CMM-Other Mathematical Science Occupations",""
"Michigan","73883.20683111955"
" -> ENG-Architects, Except Landscape And Naval",""
"Michigan","90080.10518809057"
" -> ENG-Landscape Architects",""
"Michigan","70023.40425531915"
" -> ENG-Surveyors, Cartographers, And Photogrammetrists",""
"Michigan","99495.8587915818"
" -> ENG-Aerospace Engineers",""
"Michigan","66017.23163841807"
" -> ENG-Biomedical And Agricultural Engineers",""
"Michigan","77731.85595567866"
" -> ENG-Chemical Engineers",""
"Michigan","163407.66747376916"
" -> ENG-Civil Engineers",""
"Michigan","95243.81279020684"
" -> ENG-Computer Hardware Engineers",""
"Michigan","76382.95926849543"
" -> ENG-Electrical And Electronics Engineers",""
"Michigan","114759.67351505288"
" -> ENG-Environmental Engineers",""
"Michigan","103498.92307692308"
" -> ENG-Industrial Engineers, Including Health And Safety",""
"Michigan","71046.35509863851"
" -> ENG-Marine Engineers And Naval Architects",""
"Michigan","72451.81058495822"
" -> ENG-Materials Engineers",""
"Michigan","71570.7664516129"
" -> ENG-Mechanical Engineers",""
"Michigan","97240.89379177068"
" -> ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers",""
"Michigan","78113.04347826086"
" -> ENG-Other Engineers",""
"Michigan","85342.88353990327"
" -> ENG-Architectural And Civil Drafters",""
"Michigan","59727.90157845868"
" -> ENG-Other Drafters",""
"Michigan","52625.2784019975"
" -> ENG-Electrical And Electronic Engineering Technologists And Technicians",""
"Michigan","64157.55704697986"
" -> ENG-Other Engineering Technologists And Technicians, Except Drafters",""
"Michigan","45229.47629925757"
" -> ENG-Surveying And Mapping Technicians",""
"Michigan","89769.66292134831"
" -> SCI-Agricultural And Food Scientists",""
"Michigan","51858.24922760041"
" -> SCI-Biological Scientists",""
"Michigan","43477.62008733625"
" -> SCI-Conservation Scientists And Foresters",""
"Michigan","62199.74025974026"
" -> SCI-Other Life Scientists",""
"Michigan","81142.46245583039"
" -> SCI-Astronomers And Physicists",""
"Michigan","45354.740061162076"
" -> SCI-Atmospheric And Space Scientists",""
"Michigan","67776.20396600566"
" -> SCI-Chemists And Materials Scientists",""
"Michigan","100468.98079763663"
" -> SCI-Environmental Scientists And Specialists, Including Health",""
"Michigan","63116.24291497975"
" -> SCI-Geoscientists And Hydrologists, Except Geographers",""
"Michigan","64220.66901408451"
" -> SCI-Physical Scientists, All Other",""
"Michigan","71776.0562554937"
" -> SCI-Economists",""
"Michigan","91011.89"
" -> SCI-Clinical And Counseling Psychologists",""
"Michigan","88502.40963855422"
" -> SCI-School Psychologists",""
"Michigan","63401.371204701274"
" -> SCI-Other Psychologists",""
"Michigan","56533.651226158036"
" -> SCI-Urban And Regional Planners",""
"Michigan","58557.94871794872"
" -> SCI-Other Social Scientists",""
"Michigan","81721.19062307218"
" -> SCI-Agricultural And Food Science Technicians",""
"Michigan","32530.054884742043"
" -> SCI-Biological Technicians",""
"Michigan","27247.222222222223"
" -> SCI-Chemical Technicians",""
"Michigan","64840.38397881496"
" -> SCI-Environmental Science and Geoscience Technicians, And Nuclear Technicians",""
"Michigan","47707.18232044199"
